evaluationIndex,f,Nu,NuBoundary,obj,x1,x2,x3,x4,x5,x6,x7,x8,grad1,grad2,grad3,grad4,grad5,grad6,grad7,grad8
1,1.3271850667129323,8.150113626125934,8.22803446279388,-1.3428546506662462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7935025086940346,2.216790638110311,1.0336503534973396,1.7343584231838127,0.29089373597313006,0.03841167382645505,0.04365638599279631,0.3131028021498006
2,1.315926131415102,8.15091144834419,8.23291333994503,-1.355078650959308,0.0027935025086940346,-0.002216790638110311,-0.0010336503534973396,-0.0017343584231838127,-0.00029089373597313006,-3.841167382645505e-5,-4.365638599279631e-5,-0.0003131028021498006,-1.8682140420371862,1.307814314008171,0.32154038642262517,1.0195030796988913,-0.03363434313141678,-0.14471499798729415,0.21971490279859562,0.3607331692117022
3,1.304067375318707,8.154248399676549,8.201361040962595,-1.3563511417837018,0.013967512543470173,-0.011083953190551554,-0.005168251767486698,-0.008671792115919064,-0.0014544686798656503,-0.00019205836913227525,-0.00021828192996398155,-0.0015655140107490029,1.64324184968756,-0.9280038897309106,-0.9853794992049636,-0.952306813318593,0.1914246369766337,0.10039609900092117,0.34491286698268286,0.14040980911667056
4,1.3031429330244853,8.152738840655934,8.227360869698344,-1.365450012506168,0.008702863979599147,-0.00690617865374392,-0.0032202292287030836,-0.005403211703538861,-0.0009062489146913663,-0.00011966753976413954,-0.00013600689025828152,-0.0009754389302535285,-0.15420933752896548,0.10691394090067696,-0.27221101100682876,0.005303861330907544,0.27672583257554173,0.206061579738126,0.4122308744992642,-0.059379883921906185
5,1.5241726021104856,8.22390227851537,8.268843460536798,-1.1688808041000824,0.024612219750041374,-0.017782313512685253,0.02814066369850398,-0.005050163638770754,-0.03205002909732621,-0.02340854401622687,-0.046744169940303365,0.0059137490745490035,3.017542266559481,-0.008845163146808943,5.028199237212538,2.343764806994164,-0.07881307423263095,-2.5256037554326483,-2.6888008192991197,-1.7604464119821417
6,1.3103819684738927,8.17099245261333,8.24223106016297,-1.3632848275921932,0.01038946217000357,-0.008059190104136235,0.00010443243728114988,-0.005365784026657692,-0.004207893811964602,-0.0025885906997282953,-0.005077077075157119,-0.0002450955907800888,-0.004638369157539124,-0.6024122247726416,-0.7236538646320234,-0.5992799239522562,-0.5795329652295012,-0.37589776955904153,-0.8704696430607006,-1.0277440066306376
7,1.3062120404059026,8.164012480165809,8.236764553861054,-1.3655121076285954,0.009558708439683618,-0.007491260784061872,-0.0015331686800340912,-0.0053842194681061285,-0.0025816298741716446,-0.0013724936253434786,-0.002643294973865332,-0.0006048347729598135,-0.030401142316893726,0.12365969193373072,-0.25269422122753404,0.057762501589397885,-0.2315843974334264,0.12879869902471253,-0.05749095470519716,-0.21384527219703298
8,1.3072265299173305,8.166343969180714,8.239708357310912,-1.3654805907615974,0.009705780351180785,-0.007759068407556873,-0.0009104620932260196,-0.0054715500187921,-0.0024079813422524365,-0.001736557555751253,-0.0028568572870648094,-0.00020908752153134534,0.0920568150027945,-0.23765785500606817,-0.23210264991213592,-0.08991471215125113,-0.2732632531696755,0.027458914149680602,-0.2585372542067699,-0.24538211201197146
9,1.3067136080506525,8.165240235063198,8.238661599593977,-1.3656361773153327,0.009632244395432202,-0.007625164595809373,-0.0012218153866300555,-0.005427884743449115,-0.0024948056082120403,-0.0015545255905473657,-0.0027500761304650708,-0.0004069611472455794,0.08964818148604614,-0.04738764065614909,-0.18231732443163562,0.05205825680854037,-0.21994167067962422,0.1399865058968608,0.07427792566672142,-0.13745314075797044
10,1.3070054950101715,8.166044912517313,8.239396794782698,-1.3655917581640336,0.009669012373306493,-0.007692116501683123,-0.0010661387399280376,-0.005449717381120607,-0.0024513934752322386,-0.0016455415731493094,-0.00280346670876494,-0.0003080243343884624,0.030016323399828515,-0.05828369943061684,-0.2110076481105505,-0.045396172440481664,-0.18911149875711075,0.09748910029516722,-0.30517301812016395,-0.22494465675992892
